날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2013-01-01,60178,57862,56165,55135,54450,54401,54147,52467,50469,49572,50034,50026,49515,49365,49213,49357,50362,53115,55205,55437,55348,55790,58195,59330
2013-01-02,57067,55148,53983,53571,54027,55388,57753,60781,66494,70869,72867,73115,69165,71429,72228,71945,72641,73387,72294,69989,67893,66504,67435,69275
2013-01-03,66263,64233,63194,62461,62649,63396,65098,67745,72982,75999,76522,76019,72203,74725,75576,75168,75791,75922,75469,73118,70769,68726,69593,71346
2013-01-04,68403,66143,65051,64245,64152,64678,66494,68851,73835,76175,76375,75862,72288,74360,74977,74275,74909,75344,74504,71957,69715,68155,68948,70834
2013-01-05,68053,65801,64439,63437,63135,63250,63658,63441,65640,66806,68030,67878,64439,64986,64767,63613,63095,63230,64253,63353,62455,62314,64350,66687
2013-01-06,64147,62054,60827,59823,59442,59340,59028,57577,56203,55723,56592,56479,55607,55803,55452,55256,56044,58365,60500,60355,60217,60269,62333,63259
2013-01-07,60754,58974,57845,57387,57749,58794,60869,64665,71544,75383,74984,74066,70335,72507,73064,72466,73274,73844,73287,71062,68628,66861,67697,69219
2013-01-08,66127,63913,62369,61928,62052,62756,64570,67199,72838,75220,74003,72755,69201,71327,71805,71143,72190,73167,73233,71045,68812,66925,67650,69426
2013-01-09,66329,64004,62638,61853,62157,63005,65030,67493,73051,75609,74476,73545,70249,72821,73511,72980,73797,74423,73761,71789,69623,67932,68560,70362
2013-01-10,67341,65379,64011,63217,63363,64061,65889,68372,73740,75570,72291,73507,70314,72845,73466,72934,73763,74559,74289,71914,69902,68233,68862,70630
2013-01-11,67648,65422,63995,63128,63073,63801,65398,67727,73175,75583,74080,72729,68948,71113,71544,70927,71592,72151,71495,69387,67411,65757,66646,68334
2013-01-12,65458,63146,61559,60588,60499,60859,60945,60808,62856,63973,64648,64124,60824,61247,60871,59879,59451,59796,60821,60564,60178,60199,62156,64228
2013-01-13,61334,59241,57779,56871,56900,57131,56953,55474,54614,54526,55465,55256,54435,54665,54469,54287,54578,56329,58047,57883,57768,57959,60132,61062
2013-01-14,58289,56062,54889,54702,55119,56717,59167,62472,69574,72869,72152,71605,68097,70112,70598,69828,70440,70941,71056,69159,66942,65601,66340,67777
2013-01-15,64516,62039,60740,60210,60258,61381,63330,65704,71130,73364,72147,70911,67241,69577,70145,69430,69964,70414,70751,68908,66884,65515,66238,67799
2013-01-16,64138,61948,60544,59915,60031,60882,62368,64879,70473,72808,72067,71293,68014,70400,71074,70632,71106,70706,70157,68220,66520,65393,66226,67915
2013-01-17,64711,62291,60864,60323,60579,61438,63190,65617,71198,73613,72618,71830,68729,71147,71479,71049,71741,71858,72044,70139,68183,66538,67091,68960
2013-01-18,65794,63583,62346,61515,61670,62606,64434,67122,72196,74135,72628,71458,68125,70137,70675,69776,69995,70124,70438,68494,66747,65451,66292,67943
2013-01-19,64737,62179,60660,59839,59753,60086,60516,60296,62523,63645,64059,63557,60160,60600,60555,59592,59134,59317,60600,60303,59927,59766,61498,63577
2013-01-20,61013,58667,57176,56417,56453,56607,56627,55083,54174,53973,54536,54288,53268,53394,52954,52846,53408,55071,57210,57225,56824,56976,59229,59687
2013-01-21,56651,54332,52896,52803,53649,55061,57127,60274,67339,71310,71095,70936,68352,70919,71696,70846,70994,70020,68802,66526,64530,63289,64297,65787
2013-01-22,62295,59660,58185,57677,58137,59149,61026,62924,68032,70439,69498,68662,65782,68464,69233,68718,68937,68643,68272,66448,64646,63330,64063,65302
2013-01-23,61666,58890,57492,57136,57687,58859,60511,62473,67834,70555,69719,69353,66766,69194,69724,69190,69213,68145,67546,65871,64630,63471,64272,65974
2013-01-24,62476,59714,58447,57786,58256,59471,61128,63128,68208,70895,69712,69122,66415,68970,69661,69190,69485,69435,69892,68383,66679,65403,66238,67850
2013-01-25,64698,62384,61124,60679,61024,61959,63857,66253,71209,73340,72396,71715,68766,71084,71713,70957,71294,71277,71396,69400,67584,66284,67204,68860
2013-01-26,66011,63838,62360,61313,61178,61528,61891,61908,63643,64525,65510,65043,62003,62541,62361,61442,60973,60899,62594,62185,61762,61642,63147,65372
2013-01-27,63092,60857,59393,58427,58187,58306,58216,56751,55621,54896,55577,55558,54976,55358,55075,54854,55307,56953,59440,59339,59118,59360,61658,62636
2013-01-28,59895,57998,56913,56375,56827,57931,59877,63553,70515,73589,72789,72126,68656,71153,71866,71606,71570,70764,70400,68354,66495,64968,65732,67440
2013-01-29,63874,61585,60171,59535,59856,60728,62172,64592,70383,72309,70867,70141,66893,69136,69619,68962,69043,68623,68873,67127,65110,63673,64524,65939
2013-01-30,62384,59882,58776,58170,58464,59530,61322,63540,68704,70366,68724,67553,64136,66054,66622,65936,65937,65481,66190,65035,63623,62739,63311,64452
2013-01-31,60975,58397,57159,56717,57390,58798,60641,62817,67645,69136,67346,66016,62313,64262,64836,64125,64360,64248,65106,63923,62312,61171,61921,62835
2013-02-01,59104,56433,55298,54960,55788,57212,59024,60925,65469,67350,66522,66207,63710,66233,66919,66218,66144,65110,64662,63181,61830,60946,61894,63077
2013-02-02,59612,56954,55782,55413,55979,57241,58151,58047,59768,60372,60844,60277,57320,58133,58101,57224,57089,56969,59011,59188,59039,59008,60738,62234
2013-02-03,59232,56611,55246,54673,55109,55720,55895,54732,53808,53863,54739,54768,54132,54696,54779,54786,55217,56137,57899,57988,57713,57798,59670,60333
2013-02-04,57403,55090,53769,53340,53982,55425,57941,61133,67092,70352,69451,68559,65812,68164,68648,67761,67761,67671,68884,67634,65813,64377,65147,66584
2013-02-05,62832,60288,59107,58613,59226,60344,62277,64882,70210,72515,71466,70859,67696,70482,71305,70811,70902,70151,69812,67992,66046,64497,65322,66412
2013-02-06,63066,60395,59108,58430,58999,59933,61675,63995,68753,70985,69798,68785,65725,68619,69255,68679,68979,68359,68671,67395,66098,64997,65902,67174
2013-02-07,63895,61361,59979,59596,60351,61734,64019,66957,72358,73964,72609,72018,69073,71980,73000,72688,73323,72759,73024,71677,69992,68334,69206,70621
2013-02-08,67524,65452,64152,63364,63467,64075,65677,67955,72655,74196,72424,71349,68023,69011,68302,65708,63678,62315,63277,62756,62016,61353,62895,65014
2013-02-09,62468,60396,58655,57284,56388,55786,55129,53310,50846,48917,49094,49248,48856,48537,48120,47773,47787,48960,51394,51646,51289,51839,54775,56434
2013-02-10,54678,53066,51603,50588,50117,50123,50141,49069,45866,42349,41408,40703,40338,40416,40448,40593,41229,42855,45668,46656,46950,48412,51985,54279
2013-02-11,52928,51466,50238,49805,49629,49762,49464,48171,46545,45009,45423,45703,45522,45379,45190,45263,45906,47771,50923,51953,52105,52681,55049,56338
2013-02-12,53849,51679,50364,49690,49902,50727,52271,54456,59097,61775,62406,62525,61197,62301,62525,62132,62061,61849,62365,61522,60398,59308,60338,61807
2013-02-13,58948,56643,55329,54644,55037,56338,58474,61884,68059,70551,70019,69055,65734,67733,68287,67509,67711,67261,68011,66949,65373,64073,64699,65752
2013-02-14,62188,59847,58454,57922,58230,59547,61528,64181,69522,71414,69776,68875,65380,67701,68145,67601,67762,67551,68329,67016,65145,63723,64342,65429
