월별,시간별,항목,2020 년
1월,1시,농업,1070
1월,1시,임업,986
1월,1시,어업,994
1월,1시,석탄/ 원유 및 천연가스 광업,650
1월,1시,금속 광업,669
1월,1시,비금속광물 광업;연료용 제외,508
1월,1시,광업 지원 서비스업,670
1월,1시,식료품 제조업,776
1월,1시,음료 제조업,792
1월,1시,담배 제조업,725
1월,1시,섬유제품 제조업; 의복제외,871
1월,1시,의복/ 의복액세서리 및 모피제품 제조업,509
1월,1시,가죽/ 가방 및 신발 제조업,573
1월,1시,목재 및 나무제품 제조업;가구제외,733
1월,1시,펄프/ 종이 및 종이제품 제조업,927
1월,1시,인쇄 및 기록매체 복제업,530
1월,1시,코크스/ 연탄 및 석유정제품 제조업,1009
1월,1시,화학물질 및 화학제품 제조업;의약품 제외,942
1월,1시,의료용 물질 및 의약품 제조업,806
1월,1시,고무제품 및 플라스틱제품 제조업,762
1월,1시,비금속 광물제품 제조업,933
1월,1시,1차 금속 제조업,1145
1월,1시,금속가공제품 제조업;기계 및 가구 제외,669
1월,1시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,956
1월,1시,의료/ 정밀/ 광학기기 및 시계 제조업,993
1월,1시,전기장비 제조업,857
1월,1시,기타 기계 및 장비 제조업,620
1월,1시,자동차 및 트레일러 제조업,715
1월,1시,기타 운송장비 제조업,675
1월,1시,가구 제조업,671
1월,1시,기타 제품 제조업,614
1월,1시,전기/ 가스/ 증기 및 공기조절 공급업,1009
1월,1시,수도사업,960
1월,1시,하수/ 폐수 및 분뇨 처리업,978
1월,1시,폐기물 수집운반/ 처리 및 원료재생업,722
1월,1시,환경 정화 및 복원업,810
1월,1시,종합 건설업,735
1월,1시,전문직별 공사업,786
1월,1시,자동차 및 부품 판매업,404
1월,1시,도매 및 상품중개업,640
1월,1시,소매업; 자동차 제외,531
1월,1시,육상운송 및 파이프라인 운송업,583
1월,1시,수상 운송업,594
1월,1시,항공 운송업,629
1월,1시,창고 및 운송관련 서비스업,748
1월,1시,숙박업,975
1월,1시,음식점 및 주점업,670
1월,1시,출판업,916
1월,1시,영상/ 오디오 기록물 제작 및 배급업,743
1월,1시,방송업,821
1월,1시,통신업,919
1월,1시,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,914
1월,1시,정보서비스업,882
1월,1시,금융업,566
1월,1시,보험 및 연금업,555
1월,1시,금융 및 보험 관련 서비스업,611
1월,1시,부동산업,594
1월,1시,연구개발업,785
1월,1시,전문서비스업,656
1월,1시,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,737
1월,1시,기타 전문/ 과학 및 기술 서비스업,723
1월,1시,사업시설 관리 및 조경 서비스업,671
1월,1시,사업지원 서비스업,628
1월,1시,임대업;부동산 제외,149
1월,1시,공공행정/ 국방 및 사회보장 행정,700
1월,1시,교육 서비스업,723
1월,1시,보건업,762
1월,1시,사회복지 서비스업,1120
1월,1시,창작/ 예술 및 여가관련 서비스업,581
1월,1시,스포츠 및 오락관련 서비스업,694
1월,1시,협회 및 단체,877
1월,1시,개인 및 소비용품 수리업,336
1월,1시,기타 개인 서비스업,641
1월,1시,가구내 고용활동,405
1월,1시,국제 및 외국기관,886
1월,2시,농업,1075
1월,2시,임업,949
1월,2시,어업,990
1월,2시,석탄/ 원유 및 천연가스 광업,631
1월,2시,금속 광업,657
1월,2시,비금속광물 광업;연료용 제외,536
1월,2시,광업 지원 서비스업,675
1월,2시,식료품 제조업,769
1월,2시,음료 제조업,833
1월,2시,담배 제조업,728
1월,2시,섬유제품 제조업; 의복제외,872
1월,2시,의복/ 의복액세서리 및 모피제품 제조업,518
1월,2시,가죽/ 가방 및 신발 제조업,574
1월,2시,목재 및 나무제품 제조업;가구제외,733
1월,2시,펄프/ 종이 및 종이제품 제조업,944
1월,2시,인쇄 및 기록매체 복제업,535
1월,2시,코크스/ 연탄 및 석유정제품 제조업,1009
1월,2시,화학물질 및 화학제품 제조업;의약품 제외,943
1월,2시,의료용 물질 및 의약품 제조업,801
1월,2시,고무제품 및 플라스틱제품 제조업,769
1월,2시,비금속 광물제품 제조업,940
1월,2시,1차 금속 제조업,1159
1월,2시,금속가공제품 제조업;기계 및 가구 제외,681
1월,2시,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,957
1월,2시,의료/ 정밀/ 광학기기 및 시계 제조업,988
1월,2시,전기장비 제조업,872
1월,2시,기타 기계 및 장비 제조업,618
1월,2시,자동차 및 트레일러 제조업,712
1월,2시,기타 운송장비 제조업,707
1월,2시,가구 제조업,673
1월,2시,기타 제품 제조업,617
1월,2시,전기/ 가스/ 증기 및 공기조절 공급업,997
1월,2시,수도사업,929
1월,2시,하수/ 폐수 및 분뇨 처리업,973
1월,2시,폐기물 수집운반/ 처리 및 원료재생업,741
1월,2시,환경 정화 및 복원업,809
1월,2시,종합 건설업,712
1월,2시,전문직별 공사업,784
1월,2시,자동차 및 부품 판매업,394
1월,2시,도매 및 상품중개업,631
1월,2시,소매업; 자동차 제외,502
1월,2시,육상운송 및 파이프라인 운송업,356
1월,2시,수상 운송업,589
1월,2시,항공 운송업,609
1월,2시,창고 및 운송관련 서비스업,739
1월,2시,숙박업,920
