,year,month,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트),datetime
0,2012,6,1,55679.16657,64806.07355,16.94969395,201261
1,2012,6,2,52084.53781,62603.89583,20.54894849,201262
2,2012,6,3,47742.09877,62767.71528,31.73189004,201263
3,2012,6,4,54834.23389,66320.59722,23.04101932,201264
4,2012,6,5,57325.54972,67101.75,17.93432888,201265
5,2012,6,6,54536.87549,66696.6875,22.79170851,201266
6,2012,6,7,56898.37448,66773.94444,18.819561,201267
7,2012,6,8,57308.84812,67294.90625,18.1608968,201268
8,2012,6,9,53113.76128,64471.81944,21.80673052,201269
9,2012,6,10,48479.0066,64795.25694,34.03489826,2012610
10,2012,6,11,55675.88417,67784.41319,24.10574194,2012611
11,2012,6,12,57936.4384,68421.58333,19.19017032,2012612
12,2012,6,13,57721.42899,68591.09375,19.80129597,2012613
13,2012,6,14,57899.1401,69074.54861,20.56401976,2012614
14,2012,6,15,57585.75865,69131.88194,21.06556362,2012615
15,2012,6,16,53775.05938,66912.22222,24.89621302,2012616
16,2012,6,17,49064.68979,66746.17361,36.45559517,2012617
17,2012,6,18,56745.8159,69372.46528,24.86472516,2012618
18,2012,6,19,58981.87073,70647.12153,21.11392384,2012619
19,2012,6,20,58933.60066,71891.70833,23.24678559,2012620
20,2012,6,21,59237.73446,71915.17014,22.83604151,2012621
21,2012,6,22,58712.83621,71742.95139,23.53967428,2012622
22,2012,6,23,54702.8009,70686.28125,29.91397392,2012623
23,2012,6,24,50347.15747,69024.9375,37.40012965,2012624
24,2012,6,25,57311.85774,71519.49306,27.24426677,2012625
25,2012,6,26,57836.80281,72099.94097,26.08621975,2012626
26,2012,6,27,57810.69114,71970.79514,25.88845501,2012627
27,2012,6,28,58469.5183,72135.41667,24.74756312,2012628
28,2012,6,29,58926.71021,71618.55556,22.95165984,2012629
29,2012,6,30,53818.96493,68706.20833,28.14863715,2012630
30,2012,7,1,48656.85531,69362.34028,42.90885976,201271
31,2012,7,2,56539.37295,71435.96528,28.99593747,201272
32,2012,7,3,58701.21233,71648.1875,23.54242126,201273
33,2012,7,4,59397.73698,72201.04514,22.99909456,201274
34,2012,7,5,59392.18577,72442.44444,23.28341869,201275
35,2012,7,6,58823.45833,72411.63194,24.16013804,201276
36,2012,7,7,53548.14712,72119.16667,35.14927944,201277
37,2012,7,8,49576.67441,71976.75,45.73944059,201278
38,2012,7,9,58202.41653,72943.93403,28.71405846,201279
39,2012,7,10,60101.14615,73822.24306,24.17075349,2012710
40,2012,7,11,59987.24757,74766.47569,25.99522242,2012711
41,2012,7,12,59933.52865,74457.29167,25.82489051,2012712
42,2012,7,13,60630.7217,74512.02083,24.37082963,2012713
43,2012,7,14,55125.79722,74541.86111,35.65835851,2012714
44,2012,7,15,50157.21142,74645.47222,49.07170406,2012715
45,2012,7,16,56642.55299,74717.95833,34.35493229,2012716
46,2012,7,17,58999.18233,74590.97569,27.90181437,2012717
47,2012,7,18,60496.57608,74902.77083,25.42455153,2012718
48,2012,7,19,60421.1483,74980.82639,25.33129274,2012719
49,2012,7,20,60637.30635,75386.62153,25.96791848,2012720
50,2012,7,21,56668.87448,73553.0625,30.66432972,2012721
51,2012,7,22,52667.44979,74697.08681,42.38627049,2012722
52,2012,7,23,61482.1357,76287.29514,27.31561049,2012723
53,2012,7,24,63827.6541,76672.69792,21.92168664,2012724
54,2012,7,25,64179.36997,76492.35417,20.69055313,2012725
55,2012,7,26,64182.35542,76676.15278,21.12717307,2012726
56,2012,7,27,64155.8134,77028.15972,21.52959454,2012727
57,2012,7,28,59006.87677,74870.85069,27.64233229,2012728
58,2012,7,29,55339.05649,75653.06944,37.46740469,2012729
59,2012,7,30,60587.80587,76057.75,27.8967573,2012730
60,2012,7,31,61582.17622,75502.90278,24.51320629,2012731
61,2012,8,1,60315.69896,75198.93056,26.46118268,201281
