,year,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
0,2012,1,53578.83482187951,70670.1737012987,34.50567044746573
1,2012,2,53383.99919146825,70219.13095238095,33.282128733495675
2,2012,3,55348.58705627705,70293.95882936509,28.664493368551586
3,2012,4,57262.99256448412,71362.97023809524,26.004690356646826
4,2012,5,58787.1959375,72162.56845238095,23.808200814484128
5,2012,6,59408.40013888889,72013.58630952382,22.48852938343254
6,2012,7,58574.75887400793,72094.13839285714,24.676019683531745
7,2012,8,57283.62320436508,72107.06299603175,27.351745899801585
8,2012,9,56953.670704365075,71774.10367063491,27.741667137400793
9,2012,10,57979.70509424603,71928.99206349206,25.52467729017857
10,2012,11,58315.58059027778,72596.77033730158,26.02045860813492
11,2012,12,58930.12110615079,73100.99107142857,25.476516145337303
12,2012,13,59607.71598710317,72902.69692460318,23.614966450396825
13,2012,14,58272.359662698414,73181.55009920635,27.026205868055555
14,2012,15,56321.49146825397,73089.35416666667,30.960610065476192
15,2012,16,56117.057752976194,72556.7876984127,30.838908239087303
16,2012,17,57496.389965277776,72509.17212301587,27.51431393154762
17,2012,18,58407.2207936508,72939.59970238095,26.260966537202382
18,2012,19,58842.42366071429,73577.8308531746,26.180081787202383
19,2012,20,60225.69303075397,73833.83134920635,24.032433215773807
20,2012,21,59300.176117875184,73481.28621031747,25.470577683035714
21,2012,22,57655.14216269841,73119.19940476191,27.967542186507938
22,2012,23,57266.30566468254,73510.43601190476,29.826316865575397
23,2012,24,58360.70008928572,73286.71478174604,26.919571691468253
24,2012,25,57823.45902777778,73399.61408730158,28.068118715277777
25,2012,26,59851.436374007935,74075.10168650794,25.383610694940476
26,2012,27,60784.081984126984,73854.19047619047,22.97745126984127
27,2012,28,58147.311413690484,73351.83878968253,27.509265427579365
28,2012,29,56621.07010912698,72719.03869047618,30.56416845585317
29,2012,30,55484.32938988096,72585.56646825396,33.890940019841274
30,2012,31,59416.362309027776,74690.359375,26.6574016953125
31,2013,1,55871.116293402774,72303.99363425927,30.48265630931713
32,2013,2,57967.016663773145,72679.47743055556,26.534248419560186
33,2013,3,57818.51925636574,72546.41001157407,26.656572395543982
34,2013,4,59671.32545428241,73231.22164351851,23.805672608796296
35,2013,5,59361.96584490741,73619.19589120371,25.035650830439817
36,2013,6,58266.74129918981,73590.62702546296,27.128209247685184
37,2013,7,58771.971154513885,73161.29976851851,25.816947905671295
38,2013,8,59239.211177662044,73230.81741898149,24.9389520859375
39,2013,9,58568.467199074075,72987.03125,25.897009875578703
40,2013,10,58454.460052083334,73375.73061342593,27.35179454079861
41,2013,11,59413.557725694445,73833.98495370371,25.490577253761572
42,2013,12,59674.52772858796,73694.90914351851,24.48928943981481
43,2013,13,59378.868339120374,73474.09577546296,24.867814311631943
44,2013,14,59488.23837384259,73178.67013888889,24.05105913773148
45,2013,15,59609.163961226855,73546.47280092593,24.36692710271991
46,2013,16,59474.214004629626,73248.27170138889,24.143873072627315
47,2013,17,58250.62057291667,73017.52604166667,26.481688569444444
48,2013,18,59181.0921412037,73240.46817129629,25.391449127314814
49,2013,19,58927.94575231481,73307.92708333333,27.00972163657407
50,2013,20,58487.52078703704,73306.56452546296,27.57093576215278
51,2013,21,58862.21813946759,73172.17563657407,25.850118844039354
52,2013,22,59569.02658564815,73476.49508101851,24.626426502604165
53,2013,23,59334.95616030093,72969.4777199074,23.825544722222222
54,2013,24,58413.484852430556,73311.41840277778,26.60024224334491
