,시간별,2020 년,2021 년
0,10,1126406,1148580
1,11,1152972,1174771
2,12,1147090,1159743
3,13,1064592,1079367
4,14,1132904,1141526
5,15,1143647,1156352
6,16,1119250,1133941
7,17,1095903,1113483
8,18,1030678,1047168
9,19,938952,960504
10,1,678459,687506
11,20,886738,909779
12,21,831917,855922
13,22,783322,801268
14,23,741457,751812
15,24,722713,731192
16,2,668469,675407
17,3,661023,666497
18,4,660302,663553
19,5,669910,669646
20,6,696567,695513
21,7,751323,751891
22,8,863757,866952
23,9,1031694,1045637
