,0,1,2
0,제주특별자치도 서귀포시,2012.08.30 09:38 / 2012.08.30 12:13,4210
1,제주특별자치도 서귀포시,2012.08.30 09:34 / 2012.08.30 12:14,6150
2,전라남도 신안군,2012.08.30 09:07 / 2012.08.30 15:00,7822
3, ,2012.08.30 09:04 / 2012.08.30 11:55,6243
4, ,2012.08.30 08:55 / 2012.08.30 10:21,2956
5,전라남도 신안군,2012.08.30 08:46 / 2012.08.30 16:24,30
6,제주특별자치도 서귀포시,2012.08.30 08:45 / 2012.08.30 13:28,5246
7,전라남도 신안군,2012.08.30 08:30 / 2012.08.30 14:20,333
8,전라남도 완도군,2012.08.30 08:23 / 2012.08.30 08:50,2451
9,전라남도 신안군,2012.08.30 08:22 / 2012.08.30 13:48,1074
10, ,2012.08.30 07:44 / 2012.08.30 11:09,1725
11,제주특별자치도 제주시,2012.08.30 07:43 / 2012.08.30 08:28,6900
12, ,2012.08.30 07:42 / 2012.08.30 08:54,2236
13,제주특별자치도 제주시,2012.08.30 07:33 / 2012.08.30 08:54,3354
14,제주특별자치도 제주시,2012.08.30 07:27 / 2012.08.30 08:53,6179
15,제주특별자치도 제주시,2012.08.30 07:14 / 2012.08.30 09:23,3624
16, ,2012.08.30 06:43 / 2012.08.30 06:43,2044
17, ,2012.08.30 06:24 / 2012.08.30 07:54,2044
18, ,2012.08.30 05:19 / 2012.08.30 08:13,2977
19,제주특별자치도 서귀포시,2012.08.30 05:18 / 2012.08.30 07:08,166
20,제주특별자치도 서귀포시,2012.08.30 04:57 / 2012.08.30 09:32,1281
21,전라남도 완도군,2012.08.30 04:08 / 2012.08.30 04:23,755
22, ,2012.08.30 03:31 / 2012.08.30 07:10,1450
23, ,2012.08.30 02:53 / 2012.08.30 13:28,1571
24, ,2012.08.30 02:28 / 2012.08.30 04:20,4181
25, ,2012.08.30 01:55 / 2012.08.30 04:14,3128
26, ,2012.08.30 01:17 / 2012.08.30 11:54,3877
27,경기도 이천시,2012.08.29 16:20 / 2012.08.29 16:20,20
28,경상남도 창원시 성,2012.08.29 12:09 / 2012.08.29 13:27,29
29,전라북도 전주시 덕진구,2012.08.29 11:25 / 2012.08.29 15:34,288
30,강원도 인제군,2012.08.29 10:32 / 2012.08.29 15:51,40
31,전라북도 장수군,2012.08.29 07:40 / 2012.08.29 08:37,659
32,강원도 횡성군,2012.08.29 06:40 / 2012.08.29 17:40,437
33,강원도 고성군,2012.08.29 03:55 / 2012.08.29 04:39,230
34,충청남도 청양군,2012.08.29 03:36 / 2012.08.29 05:04,577
35,인천광역시 강화군,2012.08.29 02:36 / 2012.08.29 05:02,5534
36,강원도 철원군,2012.08.29 01:38 / 2012.08.29 17:41,1145
