year,month,기온(°C),풍속(m/s),습도(%)
2012,6,21.82147104,2.039055076,71.76971535
2012,7,25.2256338,1.957829319,80.7563191
2012,8,26.22083205,2.306898064,79.20342135
2012,9,20.03947058,1.839357011,78.19706602
2012,10,14.34565392,1.880097896,68.82766076
2012,11,6.705052914,2.411860082,63.5294464
2012,12,-1.364887058,2.388752831,65.70162035
2013,1,-1.82410443,2.186777282,63.94588739
2013,2,0.783928109,2.366823065,58.2017698
2013,3,6.560206601,2.531422893,58.48584203
2013,4,10.1577142,2.814583805,60.13320148
2013,5,17.56883001,2.195477864,66.63988046
2013,6,22.25500083,1.700673319,75.96563543
2013,7,26.01894121,2.406547079,81.16479724
2013,8,27.03811594,1.834171104,77.86359423
2013,9,21.02200942,1.672048797,76.4638713
2013,10,15.42967082,1.979968181,71.83986878
2013,11,7.178410636,2.370925525,66.47352185
2013,12,1.60010407,2.329296536,65.00936189
2014,1,0.652809379,2.10991978,57.93983763
2014,2,2.52125038,2.131134189,63.9207667
2014,3,7.556344055,2.415042955,62.05845146
2014,4,13.13220015,2.171753353,59.87316865
2014,5,18.09843503,2.438069755,60.44879151
2014,6,21.50766695,1.929509336,74.63623478
2014,7,24.73555155,1.954882723,78.61558495
2014,8,23.59180098,1.942894327,83.10022597
2014,9,20.73324858,1.645042129,77.04756444
2014,10,14.83370515,1.917095667,72.20331913
2014,11,8.9136776,1.873837175,69.71022845
2014,12,-0.223332666,2.608935342,61.1355524
2015,1,0.73192251,2.321960812,63.57151975
2015,2,2.084453562,2.470555617,60.85995539
2015,3,6.654002917,2.403795278,53.30418035
2015,4,12.54833336,2.328596346,66.49953125
2015,5,18.32977859,2.195846504,60.30910547
2015,6,21.32312716,1.902165128,72.28608816
2015,7,24.09994939,2.11291055,79.65254007
2015,8,24.98442731,1.711744966,79.45803503
2015,9,20.25849897,1.754689718,74.64064788
2015,10,14.97968689,1.84562631,69.38770076
2015,11,10.16894468,1.871819691,79.447878
2015,12,3.713757439,2.006138807,69.39470292
2016,1,-0.681593214,2.301726827,61.44104351
2016,2,1.85456422,2.509029466,58.28901005
2016,3,7.098616734,2.112266395,60.48935683
2016,4,13.63311652,2.249803406,65.32707862
2016,5,18.31738533,2.199165772,64.53921541
2016,6,22.00543665,1.814640708,75.58256942
2016,7,25.20166643,1.814689936,82.7249789
2016,8,26.45154484,1.803385636,75.62624254
2016,9,21.47707169,1.569965067,81.60520541
2016,10,15.83036622,1.770923763,77.86284966
2016,11,7.962667993,1.903297796,68.67043185
2016,12,3.268839,2.105395419,66.86930132
2017,1,0.283749858,2.251281979,61.51388417
2017,2,1.693942053,2.508253043,57.62361374
2017,3,6.171419272,2.098314607,57.95738854
2017,4,13.62858731,2.354499839,60.22076995
2017,5,18.46599349,2.074831232,61.69215201
2017,6,21.51937583,1.919613922,67.97084096
2017,7,26.23626244,1.768995136,83.60147776
2017,8,25.32215611,1.761952561,80.68065453
2017,9,20.4631602,1.699346023,75.76468308
2017,10,15.26918066,1.779414472,74.78523357
2017,11,6.922842387,2.018699437,62.47740373
2017,12,-0.000436638,2.219704336,58.93808044
2018,1,-1.868590325,2.230319074,59.32881843
2018,2,-0.134567456,2.339097167,51.61076981
2018,3,7.982065402,2.312917522,68.44600963
2018,4,13.12898105,2.420165693,64.1093154
2018,5,17.59225281,2.148755201,72.55054568
2018,6,21.9108061,1.855321516,72.40924739
2018,7,26.53285901,1.823395328,78.08739912
2018,8,27.0433939,2.010915538,76.93164842
2018,9,20.33861421,1.752222891,77.33205021
2018,10,13.07222914,1.863414358,71.65620338
2018,11,8.169954658,1.457453471,70.20135369
2018,12,1.409950333,2.078008922,59.97250074
2019,1,0.448085474,2.13042844,55.11451419
2019,2,2.450571885,2.070555503,58.08361943
2019,3,7.376769435,2.317712731,60.49816522
2019,4,11.75612157,2.009123778,62.89471589
2019,5,18.34730887,2.083015767,58.1505926
2019,6,21.01670649,1.660592543,74.76536472
2019,7,24.49525673,1.870080146,80.88971846
2019,8,25.92735916,1.64952939,79.47964519
2019,9,21.58399924,1.694165836,81.71428362
2019,10,15.72105524,1.758397493,75.10602895
2019,11,8.817687184,1.781376697,69.27098418
2019,12,3.000833475,1.877851214,65.7984606
2020,1,2.914101239,1.948486138,68.23787274
2020,2,3.71075316,2.046757534,67.01230017
2020,3,7.848293822,2.313479202,60.92489775
2020,4,10.69363784,2.506191855,55.95804546
2020,5,17.53954351,2.011875266,72.78246572
2020,6,22.59363702,1.786185848,75.63402041
2020,7,22.52699663,1.611196113,86.21690077
2020,8,26.51544987,1.876215579,85.29107057
2020,9,20.27073823,1.873039,80.41093391
2020,10,13.98202777,1.672957746,68.96616094
2020,11,8.89791109,1.916678173,65.61315235
2020,12,0.873872471,1.99188749,60.54228574
2021,1,-0.570904023,2.121433021,63.44599145
2021,2,3.754382336,2.416955023,58.52130844
2021,3,8.873967796,2.041508152,67.70351133
2021,4,13.23192589,2.227031019,59.02779866
2021,5,16.72144578,2.03529095,71.0136562
2021,6,21.75876385,1.650374422,77.53145878
2021,7,26.05277101,1.624546794,80.77863594
2021,8,24.94459946,1.553048089,83.02480343
2021,9,21.53935459,1.752389547,80.72714869
2021,10,15.46591086,1.538149454,76.05350732
2021,11,8.693438236,1.834317435,70.08320294
2021,12,2.37124257,2.159228689,63.81024044
2022,1,-0.311000722,1.926121294,56.87658712
2022,2,0.2793157,2.440361805,52.0529206
2022,3,7.862936865,2.098686799,64.99802223
2022,4,13.78003977,2.018813619,60.65283287
