,year,month,현재수요(MW)
0,2012,6,1669497.21368125
1,2012,7,1809650.0466679167
2,2012,8,1844224.9067691667
3,2012,9,1626793.25222125
4,2012,10,1649774.4504891667
5,2012,11,1767627.6381579167
6,2012,12,1996840.77882
7,2013,1,2021791.62812375
8,2013,2,1724647.9734679167
9,2013,3,1808016.9691258334
10,2013,4,1697216.7232220834
11,2013,5,1675201.9443075
12,2013,6,1693855.7641995833
13,2013,7,1855267.5206591666
14,2013,8,1888698.3838158334
15,2013,9,1620665.848675
16,2013,10,1723890.7763883334
17,2013,11,1793750.15132
18,2013,12,1975709.2721479167
19,2014,1,1971868.36711625
20,2014,2,1760245.7049291667
21,2014,3,1866641.1448304167
22,2014,4,1701698.84610375
23,2014,5,1710663.6504891666
24,2014,6,1711767.7188495833
25,2014,7,1903122.0514516667
26,2014,8,1806650.6483470832
27,2014,9,1676874.8242037501
28,2014,10,1749881.3858333332
29,2014,11,1779123.7793208333
30,2014,12,2079288.58966375
31,2015,1,2043135.7992133333
32,2015,2,1755166.2559920833
33,2015,3,1907616.03102375
34,2015,4,1732373.5076570832
35,2015,5,1697138.67455
36,2015,6,1733807.8361758334
37,2015,7,1888379.3351391666
38,2015,8,1906184.0504104167
39,2015,9,1707930.4529854166
40,2015,10,1747760.3249116666
41,2015,11,1779833.86796875
42,2015,12,1994640.7868041666
43,2016,1,2085903.91457875
44,2016,2,1850877.8684308333
45,2016,3,1906269.1360762499
46,2016,4,1713741.4131954166
47,2016,5,1749589.5839991667
48,2016,6,1776763.2404095833
49,2016,7,1967078.5095970833
50,2016,8,2052248.5398208334
51,2016,9,1749324.0136608332
52,2016,10,1779916.5826083333
53,2016,11,1856973.7196620833
54,2016,12,2055934.4127179168
55,2017,1,2066842.8781258333
56,2017,2,1896119.4270225
57,2017,3,1957377.91224625
58,2017,4,1746591.57779
59,2017,5,1779063.9202995833
60,2017,6,1806127.74738625
61,2017,7,2072692.6708
62,2017,8,2040389.0099120834
63,2017,9,1839827.0815854166
64,2017,10,1764190.5563716667
65,2017,11,1918316.2260204167
66,2017,12,2162759.42863
67,2018,1,2231150.012910417
68,2018,2,1936207.44921
69,2018,3,1968630.5867429166
70,2018,4,1793211.1708458334
71,2018,5,1842759.8741492804
72,2018,6,1848219.77456375
73,2018,7,2162268.41833625
74,2018,8,2215710.885414167
75,2018,9,1810893.0246570832
76,2018,10,1863763.4869933333
77,2018,11,1909869.04646375
78,2018,12,2153988.931945
79,2019,1,2201320.72000625
80,2019,2,1848932.31076875
81,2019,3,1954523.9291633333
82,2019,4,1818500.0937525
83,2019,5,1817536.4448279168
84,2019,6,1803760.5339041667
85,2019,7,2060243.6202708334
86,2019,8,2132559.4325129166
87,2019,9,1835296.14959625
88,2019,10,1827934.4739583333
89,2019,11,1861834.3521504167
90,2019,12,2085248.41319875
91,2020,1,2049988.4848366666
92,2020,2,1907443.31562
93,2020,3,1881950.8096754167
94,2020,4,1705834.86689125
95,2020,5,1682420.2689391666
96,2020,6,1773861.1757216668
97,2020,7,1912295.4569466666
98,2020,8,2093202.4160941667
99,2020,9,1823584.8371216666
100,2020,10,1769712.5797345834
101,2020,11,1842690.46111625
102,2020,12,2122766.8133333335
103,2021,1,2185134.66250375
104,2021,2,1832540.79807375
105,2021,3,1911642.92987125
106,2021,4,1758604.7016720832
107,2021,5,1789878.7914766667
108,2021,6,1854624.0889891665
109,2021,7,2204428.279546667
110,2021,8,2114070.9682483333
111,2021,9,1848842.4181329166
112,2021,10,1869485.0202583333
113,2021,11,1913947.6377783334
114,2021,12,2189126.477126667
115,2022,1,2238555.9271039013
116,2022,2,1970277.0844975
117,2022,3,2017960.64810625
118,2022,4,424210.7857113095
