지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
168,여수,2011-01-01 0:00,-4.3,,4.9,54
168,여수,2011-01-01 1:00,-4.3,,6,53
168,여수,2011-01-01 2:00,-4.6,,4.8,54
168,여수,2011-01-01 3:00,-4.5,,5,53
168,여수,2011-01-01 4:00,-4.5,,4.3,51
168,여수,2011-01-01 5:00,-4.4,,5.8,50
168,여수,2011-01-01 6:00,-4.6,,5.5,52
168,여수,2011-01-01 7:00,-4.4,,4.5,49
168,여수,2011-01-01 8:00,-4.1,,5.9,46
168,여수,2011-01-01 9:00,-3.4,,11.7,43
168,여수,2011-01-01 10:00,-2.9,,11.7,43
168,여수,2011-01-01 11:00,-1.9,,10.4,38
168,여수,2011-01-01 12:00,-0.8,,11,32
168,여수,2011-01-01 13:00,0.9,,9.1,29
168,여수,2011-01-01 14:00,0.9,,9.9,34
168,여수,2011-01-01 15:00,1.7,,8.7,36
168,여수,2011-01-01 16:00,2.3,,8.4,36
168,여수,2011-01-01 17:00,1.5,,7.9,38
168,여수,2011-01-01 18:00,0.6,,8.3,41
168,여수,2011-01-01 19:00,0,,7.2,45
168,여수,2011-01-01 20:00,0,,3.2,46
168,여수,2011-01-01 21:00,-0.5,,4.3,49
168,여수,2011-01-01 22:00,-0.6,,4.6,50
168,여수,2011-01-01 23:00,-1,,7.3,52
168,여수,2011-01-02 0:00,-1.1,,3.7,52
168,여수,2011-01-02 1:00,-0.8,,1.6,47
168,여수,2011-01-02 2:00,-0.9,,1.6,50
168,여수,2011-01-02 3:00,-1.5,,0.7,58
168,여수,2011-01-02 4:00,-1.5,,3.4,56
168,여수,2011-01-02 5:00,-1.3,,2.9,55
168,여수,2011-01-02 6:00,-1.4,,0.4,55
168,여수,2011-01-02 7:00,-1.9,,0.3,56
168,여수,2011-01-02 8:00,-1.9,,1.6,57
168,여수,2011-01-02 9:00,-0.6,,2.1,51
168,여수,2011-01-02 10:00,0.8,,5.5,46
168,여수,2011-01-02 11:00,2.5,,1.9,40
168,여수,2011-01-02 12:00,4.1,,2.9,36
168,여수,2011-01-02 13:00,4.3,,5.8,32
168,여수,2011-01-02 14:00,5.5,,4.6,31
168,여수,2011-01-02 15:00,5.6,,5.6,28
168,여수,2011-01-02 16:00,5.3,,4.7,29
168,여수,2011-01-02 17:00,3.4,,7,32
168,여수,2011-01-02 18:00,2.1,,7.5,39
168,여수,2011-01-02 19:00,1.2,,8.4,45
168,여수,2011-01-02 20:00,0.5,,9,47
168,여수,2011-01-02 21:00,0,,6.9,48
168,여수,2011-01-02 22:00,-0.6,,8.8,54
168,여수,2011-01-02 23:00,-1,,8.5,58
168,여수,2011-01-03 0:00,-1.3,,8.4,59
168,여수,2011-01-03 1:00,-1.4,,9,58
168,여수,2011-01-03 2:00,-1.5,,7.5,55
