,정전피해_지역,피해_가구수,시작시간,종료시간
0,강원도 삼척시,1,2022.03.05 00:30 , 2022.03.05 01:23
1,강원도 삼척시,14,2022.03.04 17:43 , 2022.03.05 01:21
2,강원도 삼척시,10,2022.03.04 17:43 , 2022.03.04 18:27
3,인천광역시 강화군,2000,2022.02.08 16:26 , 2022.02.08 11:31
4,인천광역시 부평구,2000,2022.02.04 16:30 , 2022.02.04 18:45
5,인천광역시 옹진군,2000,2022.02.04 16:30 , 2022.02.04 18:48
6,인천광역시 강화군,2000,2022.01.21 09:40 , 2022.01.21 09:42
7,서울특별시 성북구,2000,2021.12.29 17:00 , 2021.12.29 17:00
8,강원도 동해시,10,2021.12.25 07:00 , 2021.12.25 11:00
9,강원도 강릉시,251,2021.12.25 05:37 , 2021.12.25 05:37
10,강원도 삼척시,1106,2021.12.25 05:31 , 2021.12.27 10:52
11,강원도 강릉시,1604,2021.12.25 04:46 , 2021.12.25 04:46
12,강원도 강릉시,975,2021.12.25 02:46 , 2021.12.25 15:15
13,강원도 강릉시,475,2021.12.25 00:15 , 2021.12.25 00:15
14,경상북도 포항시 북구,1631,2021.08.24 14:39 , 2021.08.24 17:23
15,울산광역시 중구,215,2021.08.24 01:49 , 2021.08.24 01:57
16,경상남도 통영시,1613,2021.08.24 01:11 , 2021.08.24 01:18
17,부산광역시 서구,12,2021.08.24 01:09 , 2021.08.24 01:25
18,전라남도 광양시,62,2021.08.24 00:20 , 2021.08.24 01:00
19,경상남도 거제시,1,2021.08.23 23:48 , 2021.08.23 23:53
20,경상남도 거제시,151,2021.08.23 23:45 , 2021.08.24 00:12
21,경상남도 통영시,50,2021.08.23 23:44 , 2021.08.23 23:55
22,부산광역시 사하구,2,2021.08.23 23:40 , 2021.08.24 00:19
23,경상남도 남해군,691,2021.08.23 23:17 , 2021.08.24 00:10
24,경상남도 남해군,5003,2021.08.23 23:17 , 2021.08.24 00:30
25,경상남도 통영시,287,2021.08.23 23:12 , 2021.08.23 23:46
26,충청북도 음성군,2000,2021.08.09 10:30 , 2021.08.09 10:31
27,충청북도 음성군,2000,2021.08.09 09:40 , 2021.08.09 09:44
28,제주특별자치도 제주시,2286,2021.08.05 14:14 , 2021.08.05 14:17
29,제주특별자치도 제주시,75,2021.08.05 14:14 , 2021.08.05 14:22
30,제주특별자치도 제주시,289,2021.08.05 14:14 , 2021.08.05 14:21
31,제주특별자치도 제주시,2847,2021.08.05 14:14 , 2021.08.05 14:19
32,제주특별자치도 제주시,154,2021.08.05 14:10 , 2021.08.05 14:14
33,제주특별자치도 제주시,641,2021.08.04 14:00 , 2021.08.04 14:26
34,제주특별자치도 제주시,4470,2021.08.04 14:00 , 2021.08.04 14:24
35,제주특별자치도 제주시,3703,2021.08.04 14:00 , 2021.08.04 14:23
36,제주특별자치도 제주시,4266,2021.08.04 14:00 , 2021.08.04 14:22
37,제주특별자치도 제주시,370,2021.08.04 14:00 , 2021.08.04 14:19
38,충청북도 음성군,20000,2021.07.28 14:20 , 2021.07.28 09:25
39,충청북도 음성군,0,2021.07.27 14:15 , 2021.07.27 09:59
40,충청남도 논산시,2000,2021.07.22 15:06 , 2021.07.22 15:04
41,충청남도 논산시,2000,2021.07.22 14:50 , 2021.07.22 14:55
42,부산광역시 남구,1000,2021.07.22 14:36 , 2021.07.22 10:36
43,대전광역시 유성구,2000,2021.07.22 14:35 , 2021.07.22 14:34
44,충청남도 서천군,2000,2021.07.22 14:35 , 2021.07.22 14:33
45,충청남도 아산시,2000,2021.07.22 14:35 , 2021.07.22 14:34
46,충청남도 보령시,2000,2021.07.22 14:35 , 2021.07.22 14:34
47,충청남도 예산군,2000,2021.07.22 14:35 , 2021.07.22 14:34
48,충청남도 공주시,2000,2021.07.22 14:35 , 2021.07.22 14:32
49,충청남도 태안군,2000,2021.07.22 14:34 , 2021.07.22 14:34
50,충청남도 청양군,2000,2021.07.22 14:34 , 2021.07.22 14:34
51,충청남도 금산군,2000,2021.07.22 14:34 , 2021.07.22 14:34
52,충청남도 서산시,2000,2021.07.22 14:34 , 2021.07.22 14:33
53,충청남도 서산시,2000,2021.07.22 14:34 , 2021.07.22 14:34
54,충청남도 당진시,2000,2021.07.22 14:34 , 2021.07.22 14:34
