조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
,요소 : 습도,,,
,검색구분 : 일,,,
,지역/지점명 : 서울,,,
,기간 : 2012 ~ 2022년 01 ~ 12월 01 ~ 31일,,,
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
"		",,,,
"	",,,,
"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		108",서울,2012-06-01,52.3,26
"		108",서울,2012-06-02,44.8,26
"		108",서울,2012-06-03,38.9,22
"		108",서울,2012-06-04,35.1,21
"		108",서울,2012-06-05,62.6,37
"		108",서울,2012-06-06,62,33
"		108",서울,2012-06-07,62.8,38
"		108",서울,2012-06-08,66.4,43
"		108",서울,2012-06-09,59.5,32
"		108",서울,2012-06-10,58.8,37
"		108",서울,2012-06-11,59.4,37
"		108",서울,2012-06-12,58.9,36
"		108",서울,2012-06-13,53.1,33
"		108",서울,2012-06-14,49.1,27
"		108",서울,2012-06-15,52.8,41
"		108",서울,2012-06-16,61.3,34
"		108",서울,2012-06-17,52.5,27
"		108",서울,2012-06-18,46.5,31
"		108",서울,2012-06-19,44.8,21
"		108",서울,2012-06-20,49.1,28
"		108",서울,2012-06-21,55.3,26
"		108",서울,2012-06-22,61.4,37
"		108",서울,2012-06-23,55.8,29
"		108",서울,2012-06-24,48.3,32
"		108",서울,2012-06-25,40.5,25
"		108",서울,2012-06-26,44.9,29
"		108",서울,2012-06-27,47.1,32
"		108",서울,2012-06-28,50.4,35
"		108",서울,2012-06-29,60.4,37
"		108",서울,2012-06-30,87.8,78
"		108",서울,2012-07-01,80.1,62
"		108",서울,2012-07-02,62.8,38
"		108",서울,2012-07-03,78.1,57
"		108",서울,2012-07-04,79.8,65
"		108",서울,2012-07-05,89.6,76
"		108",서울,2012-07-06,88.8,77
"		108",서울,2012-07-07,62.1,38
"		108",서울,2012-07-08,64.5,48
"		108",서울,2012-07-09,64.1,42
"		108",서울,2012-07-10,67.4,43
"		108",서울,2012-07-11,83.5,72
"		108",서울,2012-07-12,72.3,54
"		108",서울,2012-07-13,76.1,56
"		108",서울,2012-07-14,82.1,65
"		108",서울,2012-07-15,89.5,84
"		108",서울,2012-07-16,80.3,62
"		108",서울,2012-07-17,70.5,58
"		108",서울,2012-07-18,78.8,67
"		108",서울,2012-07-19,85.3,68
"		108",서울,2012-07-20,73.6,52
"		108",서울,2012-07-21,67.4,48
"		108",서울,2012-07-22,74.4,59
"		108",서울,2012-07-23,73.9,59
"		108",서울,2012-07-24,71.9,52
"		108",서울,2012-07-25,68,45
"		108",서울,2012-07-26,63.4,42
"		108",서울,2012-07-27,68,48
"		108",서울,2012-07-28,67.3,43
"		108",서울,2012-07-29,66.8,48
"		108",서울,2012-07-30,72.3,57
"		108",서울,2012-07-31,66.1,49
"		108",서울,2012-08-01,56.8,40
"		108",서울,2012-08-02,53.6,39
"		108",서울,2012-08-03,51.9,38
"		108",서울,2012-08-04,50.1,31
"		108",서울,2012-08-05,51,36
"		108",서울,2012-08-06,54.1,38
"		108",서울,2012-08-07,48,33
"		108",서울,2012-08-08,51.6,35
"		108",서울,2012-08-09,63.5,39
"		108",서울,2012-08-10,69.4,50
"		108",서울,2012-08-11,65,48
"		108",서울,2012-08-12,80.3,67
"		108",서울,2012-08-13,65,38
"		108",서울,2012-08-14,64.3,44
"		108",서울,2012-08-15,88,76
"		108",서울,2012-08-16,68.8,50
"		108",서울,2012-08-17,74,53
"		108",서울,2012-08-18,80.3,74
"		108",서울,2012-08-19,75.8,61
"		108",서울,2012-08-20,87.4,79
"		108",서울,2012-08-21,85.4,67
"		108",서울,2012-08-22,80.5,65
"		108",서울,2012-08-23,68.3,57
"		108",서울,2012-08-24,70,60
"		108",서울,2012-08-25,80.1,61
"		108",서울,2012-08-26,72.3,50
"		108",서울,2012-08-27,59.9,43
"		108",서울,2012-08-28,69.5,53
"		108",서울,2012-08-29,70.3,52
"		108",서울,2012-08-30,85.8,65
"		108",서울,2012-08-31,65.6,39
"		108",서울,2012-09-01,69,47
"		108",서울,2012-09-02,65.1,43
"		108",서울,2012-09-03,71.4,54
"		108",서울,2012-09-04,84.1,62
"		108",서울,2012-09-05,61.1,32
"		108",서울,2012-09-06,52.9,30
"		108",서울,2012-09-07,60.6,33
"		108",서울,2012-09-08,71.8,51
"		108",서울,2012-09-09,68.4,51
"		108",서울,2012-09-10,61.4,34
"		108",서울,2012-09-11,53.1,34
"		108",서울,2012-09-12,68.9,55
"		108",서울,2012-09-13,87.1,74
"		108",서울,2012-09-14,68.5,44
"		108",서울,2012-09-15,56.8,39
"		108",서울,2012-09-16,60.1,45
"		108",서울,2012-09-17,86.8,73
"		108",서울,2012-09-18,69.4,46
"		108",서울,2012-09-19,63.9,39
"		108",서울,2012-09-20,69.6,40
"		108",서울,2012-09-21,68.3,41
"		108",서울,2012-09-22,60.6,33
"		108",서울,2012-09-23,56.6,27
"		108",서울,2012-09-24,49.8,26
"		108",서울,2012-09-25,52.3,26
"		108",서울,2012-09-26,60,38
"		108",서울,2012-09-27,62,40
"		108",서울,2012-09-28,72.3,58
"		108",서울,2012-09-29,58.8,39
"		108",서울,2012-09-30,63.8,43
"		108",서울,2012-10-01,64.3,31
"		108",서울,2012-10-02,64.3,36
"		108",서울,2012-10-03,60.4,31
"		108",서울,2012-10-04,61.6,35
"		108",서울,2012-10-05,61.4,36
"		108",서울,2012-10-06,52.9,30
"		108",서울,2012-10-07,54.9,27
"		108",서울,2012-10-08,53,33
"		108",서울,2012-10-09,60,35
"		108",서울,2012-10-10,69.6,44
"		108",서울,2012-10-11,47.4,23
"		108",서울,2012-10-12,51.8,26
"		108",서울,2012-10-13,54,23
"		108",서울,2012-10-14,39.9,14
"		108",서울,2012-10-15,33.3,14
"		108",서울,2012-10-16,46.5,33
"		108",서울,2012-10-17,57,24
"		108",서울,2012-10-18,46.5,20
"		108",서울,2012-10-19,52.3,19
"		108",서울,2012-10-20,65,26
"		108",서울,2012-10-21,70.5,36
"		108",서울,2012-10-22,77.3,57
"		108",서울,2012-10-23,49.4,25
"		108",서울,2012-10-24,62.8,44
"		108",서울,2012-10-25,68.5,50
"		108",서울,2012-10-26,62.1,28
"		108",서울,2012-10-27,84.5,57
"		108",서울,2012-10-28,65.4,41
"		108",서울,2012-10-29,60.6,34
"		108",서울,2012-10-30,55.4,41
"		108",서울,2012-10-31,50.9,16
"		108",서울,2012-11-01,36.5,21
"		108",서울,2012-11-02,36.9,19
"		108",서울,2012-11-03,41.5,21
"		108",서울,2012-11-04,56.5,36
"		108",서울,2012-11-05,87.6,74
"		108",서울,2012-11-06,81,71
"		108",서울,2012-11-07,68.4,48
"		108",서울,2012-11-08,74.6,59
"		108",서울,2012-11-09,63.6,29
"		108",서울,2012-11-10,49.3,36
"		108",서울,2012-11-11,72,45
"		108",서울,2012-11-12,67.8,47
"		108",서울,2012-11-13,54.8,39
"		108",서울,2012-11-14,53.3,34
"		108",서울,2012-11-15,51.5,27
"		108",서울,2012-11-16,74,53
"		108",서울,2012-11-17,61.6,35
"		108",서울,2012-11-18,45.1,21
"		108",서울,2012-11-19,64.4,46
"		108",서울,2012-11-20,51.6,29
"		108",서울,2012-11-21,62.5,41
"		108",서울,2012-11-22,68.3,53
"		108",서울,2012-11-23,63,48
"		108",서울,2012-11-24,46.9,18
"		108",서울,2012-11-25,55.6,34
"		108",서울,2012-11-26,51.5,28
"		108",서울,2012-11-27,38.9,15
"		108",서울,2012-11-28,54.5,34
"		108",서울,2012-11-29,34.4,15
"		108",서울,2012-11-30,49.6,29
"		108",서울,2012-12-01,47.9,32
"		108",서울,2012-12-02,50.4,43
"		108",서울,2012-12-03,66.9,51
"		108",서울,2012-12-04,41.3,24
"		108",서울,2012-12-05,66.5,38
"		108",서울,2012-12-06,53.4,17
"		108",서울,2012-12-07,76,60
"		108",서울,2012-12-08,42.4,29
"		108",서울,2012-12-09,45.5,33
"		108",서울,2012-12-10,51.3,35
"		108",서울,2012-12-11,55.3,32
"		108",서울,2012-12-12,56.8,33
"		108",서울,2012-12-13,55.1,41
"		108",서울,2012-12-14,79.8,54
"		108",서울,2012-12-15,78.4,59
"		108",서울,2012-12-16,77,62
"		108",서울,2012-12-17,65.4,39
"		108",서울,2012-12-18,49.4,34
"		108",서울,2012-12-19,45,24
"		108",서울,2012-12-20,49.1,39
"		108",서울,2012-12-21,66.1,32
"		108",서울,2012-12-22,67.4,50
"		108",서울,2012-12-23,53.9,36
"		108",서울,2012-12-24,52,38
"		108",서울,2012-12-25,50.9,26
