,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
0,202101,堡林堡开矫,堡魂备,啊肺殿,"12,803 ","2,629,917 ","281,124,107 ",106.9 
22,202101,堡林堡开矫,悼备,林琶侩,"42,234 ","15,703,732 ","1,835,417,998 ",116.9 
23,202101,堡林堡开矫,悼备,钦拌,"61,110 ","60,019,593 ","7,274,669,793 ",121.2 
24,202101,堡林堡开矫,合备,啊肺殿,"12,366 ","1,917,620 ","194,213,863 ",101.3 
25,202101,堡林堡开矫,合备,背腊侩,193 ,"15,035,409 ","1,431,892,142 ",95.2 
26,202101,堡林堡开矫,合备,丑荤侩,"2,080 ","2,668,034 ","118,001,634 ",44.2 
27,202101,堡林堡开矫,合备,魂诀侩,"1,606 ","60,836,748 ","7,044,240,810 ",115.8 
28,202101,堡林堡开矫,合备,缴 具,"1,569 ","4,052,348 ","301,830,836 ",74.5 
30,202101,堡林堡开矫,合备,林琶侩,"125,834 ","58,988,120 ","6,501,950,113 ",110.2 
31,202101,堡林堡开矫,合备,钦拌,"171,166 ","213,108,694 ","24,562,320,992 ",115.3 
32,202101,堡林堡开矫,辑备,啊肺殿,"8,638 ","1,263,873 ","131,145,747 ",103.8 
33,202101,堡林堡开矫,辑备,背腊侩,107 ,"2,766,255 ","268,372,985 ",97 
34,202101,堡林堡开矫,辑备,丑荤侩,"1,086 ","589,279 ","27,741,017 ",47.1 
35,202101,堡林堡开矫,辑备,魂诀侩,680 ,"26,999,861 ","3,240,402,113 ",120 
36,202101,堡林堡开矫,辑备,缴 具,775 ,"2,057,760 ","150,985,039 ",73.4 
37,202101,堡林堡开矫,辑备,老馆侩,"19,601 ","72,750,443 ","9,451,038,983 ",129.9 
38,202101,堡林堡开矫,辑备,林琶侩,"76,282 ","41,217,755 ","4,550,937,896 ",110.4 
39,202101,堡林堡开矫,辑备,钦拌,"107,169 ","147,645,226 ","17,820,623,780 ",120.7 
21,202101,堡林堡开矫,悼备,老馆侩,"11,568 ","34,485,010 ","4,489,389,522 ",130.2 
20,202101,堡林堡开矫,悼备,缴 具,946 ,"1,672,579 ","120,623,212 ",72.1 
29,202101,堡林堡开矫,合备,老馆侩,"27,518 ","69,610,415 ","8,970,191,594 ",128.9 
18,202101,堡林堡开矫,悼备,丑荤侩,344 ,"105,532 ","5,142,183 ",48.7 
19,202101,堡林堡开矫,悼备,魂诀侩,439 ,"3,081,336 ","386,421,624 ",125.4 
1,202101,堡林堡开矫,堡魂备,背腊侩,169 ,"6,657,102 ","648,491,335 ",97.4 
2,202101,堡林堡开矫,堡魂备,丑荤侩,"6,137 ","6,512,071 ","284,478,647 ",43.7 
3,202101,堡林堡开矫,堡魂备,魂诀侩,"3,205 ","173,642,738 ","21,163,162,804 ",121.9 
4,202101,堡林堡开矫,堡魂备,缴 具,"1,315 ","3,104,941 ","215,570,260 ",69.4 
5,202101,堡林堡开矫,堡魂备,老馆侩,"23,677 ","72,084,207 ","9,256,694,225 ",128.4 
7,202101,堡林堡开矫,堡魂备,钦拌,"132,496 ","319,599,262 ","37,854,002,275 ",118.4 
8,202101,堡林堡开矫,巢备,啊肺殿,"8,624 ","1,201,799 ","122,214,724 ",101.7 
9,202101,堡林堡开矫,巢备,背腊侩,104 ,"3,797,217 ","374,874,383 ",98.7 
6,202101,堡林堡开矫,堡魂备,林琶侩,"85,190 ","54,968,286 ","6,004,480,897 ",109.2 
17,202101,堡林堡开矫,悼备,背腊侩,57 ,"4,099,511 ","351,190,465 ",85.7 
11,202101,堡林堡开矫,巢备,魂诀侩,472 ,"3,156,371 ","438,530,338 ",138.9 
12,202101,堡林堡开矫,巢备,缴 具,"1,099 ","2,480,687 ","171,759,632 ",69.2 
13,202101,堡林堡开矫,巢备,老馆侩,"11,686 ","29,534,847 ","3,857,975,882 ",130.6 
14,202101,堡林堡开矫,巢备,林琶侩,"56,751 ","30,046,932 ","3,459,709,782 ",115.1 
15,202101,堡林堡开矫,巢备,钦拌,"81,106 ","71,491,642 ","8,484,296,780 ",118.7 
16,202101,堡林堡开矫,悼备,啊肺殿,"5,522 ","871,893 ","86,484,789 ",99.2 
10,202101,堡林堡开矫,巢备,丑荤侩,"2,370 ","1,273,789 ","59,232,039 ",46.5 
68,202102,堡林堡开矫,合备,缴 具,"1,568 ","3,706,854 ","272,847,456 ",73.6 
67,202102,堡林堡开矫,合备,魂诀侩,"1,607 ","56,296,522 ","6,584,853,264 ",117 
