,斥档,矫档,矫焙备,措惑啊备荐(龋),啊备寸 乞闭 傈仿 荤侩樊(kWh),啊备寸 乞闭 傈扁夸陛(盔)
0,202101,堡林堡开矫,堡魂备,"199,915 ",267 ,"29,074 "
1,202101,堡林堡开矫,巢备,"109,024 ",270 ,"31,017 "
2,202101,堡林堡开矫,悼备,"65,227 ",233 ,"27,289 "
3,202101,堡林堡开矫,合备,"229,107 ",253 ,"27,859 "
4,202101,堡林堡开矫,辑备,"155,275 ",260 ,"28,632 "
5,202102,堡林堡开矫,堡魂备,"200,330 ",263 ,"28,406 "
6,202102,堡林堡开矫,巢备,"109,043 ",260 ,"29,239 "
7,202102,堡林堡开矫,悼备,"65,512 ",219 ,"24,397 "
8,202102,堡林堡开矫,合备,"230,300 ",241 ,"25,506 "
9,202102,堡林堡开矫,辑备,"155,408 ",256 ,"27,807 "
14,202103,堡林堡开矫,辑备,"155,454 ",221 ,"21,611 "
12,202103,堡林堡开矫,悼备,"65,531 ",196 ,"20,038 "
13,202103,堡林堡开矫,合备,"229,700 ",212 ,"20,449 "
10,202103,堡林堡开矫,堡魂备,"200,410 ",225 ,"21,797 "
11,202103,堡林堡开矫,巢备,"109,071 ",223 ,"22,455 "
15,202104,堡林堡开矫,堡魂备,"200,928 ",235 ,"23,615 "
16,202104,堡林堡开矫,巢备,"109,943 ",231 ,"24,253 "
17,202104,堡林堡开矫,悼备,"65,558 ",197 ,"20,266 "
18,202104,堡林堡开矫,合备,"229,675 ",217 ,"21,300 "
19,202104,堡林堡开矫,辑备,"155,530 ",228 ,"23,034 "
20,202105,堡林堡开矫,堡魂备,"201,071 ",221 ,"21,300 "
21,202105,堡林堡开矫,巢备,"109,897 ",218 ,"21,844 "
22,202105,堡林堡开矫,悼备,"65,506 ",191 ,"19,066 "
23,202105,堡林堡开矫,合备,"231,178 ",206 ,"19,531 "
24,202105,堡林堡开矫,辑备,"155,716 ",214 ,"20,632 "
29,202106,堡林堡开矫,辑备,"155,919 ",222 ,"21,736 "
27,202106,堡林堡开矫,悼备,"65,581 ",198 ,"19,979 "
28,202106,堡林堡开矫,合备,"231,159 ",214 ,"20,736 "
25,202106,堡林堡开矫,堡魂备,"201,376 ",231 ,"22,948 "
26,202106,堡林堡开矫,巢备,"109,912 ",227 ,"23,229 "
30,202107,堡林堡开矫,堡魂备,"201,212 ",256 ,"26,346 "
