,斥档,矫档,措惑啊备荐(龋),啊备寸 乞闭 傈仿 荤侩樊(kWh),啊备寸 乞闭 傈扁夸陛(盔)
0,202101,堡林堡开矫,"758,548",259,"28,742"
1,202102,堡林堡开矫,"760,593",251,"27,180"
2,202103,堡林堡开矫,"760,166",217,"21,295"
3,202104,堡林堡开矫,"761,634",224,"22,602"
4,202105,堡林堡开矫,"763,368",212,"20,515"
5,202106,堡林堡开矫,"763,947",221,"21,817"
6,202107,堡林堡开矫,"760,941",250,"25,704"
7,202108,堡林堡开矫,"761,518",333,"38,519"
8,202109,堡林堡开矫,"762,210",270,"28,623"
9,202110,堡林堡开矫,"763,402",225,"23,680"
10,202111,堡林堡开矫,"764,926",224,"23,578"
11,202112,堡林堡开矫,"770,519",228,"24,425"
12,202201,堡林堡开矫,"774,491",248,"28,254"
13,202202,堡林堡开矫,"774,582",248,"28,314"
14,202203,堡林堡开矫,"775,540",220,"23,161"
15,202204,堡林堡开矫,"776,955",225,"23,564"
16,202205,堡林堡开矫,"778,855",205,"20,943"
17,202206,堡林堡开矫,"779,208",214,"22,148"
18,202207,堡林堡开矫,"779,834",270,"29,691"
19,202208,堡林堡开矫,"779,873",321,"35,864"
20,202209,堡林堡开矫,"780,579",277,"30,120"
21,202210,堡林堡开矫,"781,375",218,"23,700"
22,202211,堡林堡开矫,"782,606",214,"24,150"
23,202212,堡林堡开矫,"782,439",225,"25,618"
