거래일자,강원도,경기도,경상남도,경상북도,광주시,대구시,대전시,부산시,서울시,세종시,울산시,인천시,전라남도,전라북도,제주도,충청남도,충청북도
2018-01-01,500806.116,271202.281,602011.7,943791.423,106721.53,100400.77799999999,32406.648,171490.056,38552.895,27064.522,47882.4,70544.66,2289538.416,413394.765,421097.45,754014.013,276553.66
2018-01-02,395716.137,213637.688,465566.995,531646.88,69706.542,69781.882,11694.612,142407.276,30843.806,11471.106,36202.536,54446.083,1802809.604,173944.613,446638.211,355314.006,136194.084
2018-01-03,505753.284,322863.833,595377.673,962242.617,112696.792,93738.484,35030.996,164782.692,42624.617,31965.998,44197.488,78460.973,2126842.831,422072.68,397219.346,1040450.89,306053.06
2018-01-04,365376.94800000003,228226.876,407641.3,805497.9839999999,53786.104,88755.979,23516.507999999998,114553.044,28178.222,21055.02,37144.8,61972.636,1091009.582,230347.427,128864.17199999999,662813.2069999999,222322.332
2018-01-05,405754.01,280505.38300000003,547961.236,836271.3570000001,68215.268,90334.212,31135.82,143769.612,37137.974,28389.016,37273.248,77929.536,1388399.153,327451.84500000003,102136.778,798375.646,277420.408
2018-01-06,515656.502,343594.417,630803.299,987819.2930000001,117016.284,104172.49399999999,34837.060000000005,181180.28,43135.443,30166.066,48822.864,85352.776,2532701.936,449862.597,451656.818,1085708.478,299347.496
2018-01-07,287266.712,152599.376,174080.414,351821.321,31164.755999999998,31733.084,10312.848,54344.716,18793.388,9078.123,17131.152,37863.055,529892.223,114903.224,72568.793,283928.905,112241.632
2018-01-08,134067.692,113287.068,77160.842,146483.243,22340.122,14705.752999999999,2969.592,19277.188,12051.136,2943.018,5142.312,26055.658000000003,416517.877,74966.462,68685.256,238702.314,38780.324
2018-01-09,359299.492,184875.17500000002,490714.631,608988.0669999999,13153.006,89541.47,2085.268,163533.612,31778.21,552.685,36367.248,65938.323,1273969.694,109929.584,281476.914,254403.28900000002,53874.492
2018-01-10,417747.38300000003,235683.666,351265.914,555419.213,6726.184,77842.881,47.16,122609.832,38914.715,0.0,36982.008,67581.754,788698.331,37788.82,184842.037,13478.929,30413.556
2018-01-11,531206.302,284711.663,587679.671,841104.421,8519.282,104670.798,101.352,190769.04,41949.965000000004,0.048,51101.712,73405.408,432480.382,32501.838,30348.834,46969.346,77368.564
2018-01-12,544611.356,359332.568,642343.5920000001,1008441.373,12289.85,114872.989,493.716,195799.192,47161.877,0.14400000000000002,52066.92,92359.262,713267.355,78823.494,70498.428,219200.594,114410.776
2018-01-13,386929.223,107399.455,536419.868,477256.948,29374.172,77008.568,6919.708,160733.88,11861.703,929.787,42938.448,31973.403,1437655.49,180777.64299999998,293234.874,511523.617,39677.244
2018-01-14,448824.46,233058.85,487314.987,901673.997,57970.271,96797.569,21815.64,133288.86000000002,27026.449,11903.064,43042.416,51824.492,1769003.729,270790.78599999996,270546.492,738238.666,174042.12
2018-01-15,393871.732,271010.395,599972.961,859478.371,84486.686,97284.391,26274.708,173086.348,30362.465,24784.376,47634.24,65950.986,2347034.9359999998,364504.605,496537.543,877599.332,192199.36
2018-01-16,170195.601,88911.883,57234.873,314762.80799999996,12277.34,22555.176,8057.896,11760.856,11435.809,7458.595,6830.808,30167.768,188453.741,69072.02,41079.526,193126.018,89763.08
2018-01-17,154207.315,172955.253,206539.15,246741.607,48022.266,27832.281,7520.32,45417.172,20157.622,7151.51,11706.744,56317.943999999996,1459085.3630000001,175914.621,346749.95,582106.487,76823.56
2018-01-18,212934.156,163213.321,431316.65499999997,448691.614,86179.621,51940.248999999996,18715.652000000002,132169.112,16964.589,16098.344,30461.448,41356.304000000004,1722140.574,289614.586,344155.148,506635.505,150234.768
2018-01-19,535763.23,353818.933,587986.411,809467.495,113673.36200000001,86818.357,28891.24,180474.304,40218.687,27062.663,44592.432,92253.94,2537821.114,365940.721,529297.51,961872.704,282462.244
2018-01-20,267513.507,194289.762,563538.632,724633.576,104952.932,86586.134,26748.436,175335.252,22376.8,24358.904,44146.392,63270.172,2339622.722,410795.534,514076.085,715246.652,188879.456
2018-01-21,440932.078,297070.262,499014.589,841658.777,85518.153,89268.969,25954.584,155564.084,35618.397,18411.088,41433.0,75337.124,1844460.496,290978.833,520359.79600000003,888629.816,222600.408
2018-01-22,195187.346,102708.15,296384.212,452116.795,76709.233,61272.998,14725.815999999999,75773.928,9343.256,13442.066,22826.112,25700.964,1692566.57,277767.228,286640.954,428816.351,121098.84
2018-01-23,253191.519,285392.469,658791.818,1101053.674,92645.368,119395.755,41111.996,205810.404,29895.717,34439.46,54831.24,99673.952,1678547.437,384238.261,167401.0,1129703.351,254509.16
2018-01-24,406287.705,312595.509,683743.893,1156634.116,139733.696,119360.559,42955.784,203128.19199999998,35516.714,37399.788,60898.584,116098.149,2139912.906,503079.342,192698.43899999998,785036.637,306504.788
2018-01-25,501608.06,296205.936,673849.767,1062824.112,143321.043,110689.0,39342.195999999996,222059.408,38123.2,35497.385,60610.176,103228.213,1803581.47,483357.527,86865.861,1129498.288,306612.9
2018-01-26,586928.553,349226.737,734655.386,1207200.866,132766.062,124501.882,44585.587999999996,225516.34,52139.191999999995,39409.664,63109.128000000004,116461.234,1879540.035,472217.954,145005.967,1216859.017,349204.808
2018-01-27,596880.486,342990.574,699662.951,1121846.33,140382.952,116190.046,41154.912,214098.124,50517.075,36638.51,59912.784,115133.128,2899726.188,534601.841,413326.388,1294259.699,364295.004
2018-01-28,505142.625,326785.032,634587.607,1021377.681,121583.235,109938.245,35449.096,182594.944,39644.208,32007.707,48337.416000000005,77399.862,2356524.931,476938.869,241789.732,991327.347,345412.32
2018-01-29,667563.989,411257.852,693571.603,1130508.549,105831.294,118125.918,39500.172,212501.168,51574.24,36123.471,59156.616,109025.415,1548438.176,411745.256,246072.894,1122297.087,387722.668
2018-01-30,630609.28,319973.054,658636.901,1134161.033,112510.692,113985.369,38404.956,205006.444,31753.243,32530.101,57865.92,70622.632,2147086.68,461331.01,309953.789,974564.798,355826.076
