,공급능력(MW),현재수요(MW),공급예비력(MW),공급예비율(퍼센트),일시,지점명,기온(°C),강수량(mm),풍속(m/s),습도(%)
61362,97257.0,59734.95,37522.05,62.84715,2018-01-01 00:00:00,서울,-3.2,0,0.5,40.0
61363,97257.0,57278.675,39978.325,69.81330833,2018-01-01 01:00:00,서울,-3.3,0,0.7,41.0
61364,97257.0,56117.20833,41139.79167,73.31449167,2018-01-01 02:00:00,서울,-3.7,0,0.9,42.0
61365,97257.0,55512.9,41744.1,75.19783333,2018-01-01 03:00:00,서울,-4.0,0,1.0,44.0
61366,97257.0,55483.88333,41773.11667,75.289725,2018-01-01 04:00:00,서울,-4.2,0,1.1,53.0
61367,97198.16667,55595.74167,41602.425,74.83168333,2018-01-01 05:00:00,서울,-4.4,0,0.8,54.0
61368,97175.83333,56135.28333,41040.55,73.11045,2018-01-01 06:00:00,서울,-4.5,0,1.1,51.0
61369,97370.0,55774.33333,41595.66667,74.58486667,2018-01-01 07:00:00,서울,-4.7,0,1.1,56.0
61370,97340.83333,55047.33333,42293.5,76.8328,2018-01-01 08:00:00,서울,-5.0,0,1.0,55.0
61371,97320.0,54525.8,42794.2,78.49046667,2018-01-01 09:00:00,서울,-4.3,0,0.7,39.0
61372,97320.0,55144.70833,42175.29167,76.48295,2018-01-01 10:00:00,서울,-1.6,0,0.8,32.0
61373,97307.5,54739.425,42568.075,77.76774167,2018-01-01 11:00:00,서울,0.1,0,2.2,27.0
61374,97270.0,54342.20833,42927.79167,78.99605833,2018-01-01 12:00:00,서울,1.5,0,2.8,20.0
61375,97298.66667,54293.425,43005.24167,79.20985833,2018-01-01 13:00:00,서울,2.4,0,2.3,22.0
61376,97356.0,54576.525,42779.475,78.386975,2018-01-01 14:00:00,서울,3.7,0,2.1,24.0
61377,97356.0,55116.025,42239.975,76.63931667,2018-01-01 15:00:00,서울,3.0,0,2.9,27.0
61378,97360.33333,55701.475,41658.85833,74.79548333,2018-01-01 16:00:00,서울,3.0,0,2.5,28.0
61379,97408.0,58373.98333,39034.01667,66.91806667,2018-01-01 17:00:00,서울,1.8,0,3.3,33.0
61380,97408.0,60251.51667,37156.48333,61.67014167,2018-01-01 18:00:00,서울,0.8,0,1.9,34.0
61381,97408.0,60490.925,36917.075,61.02950833,2018-01-01 19:00:00,서울,-0.1,0,1.3,39.0
61382,97398.83333,60345.69167,37053.14167,61.40158333,2018-01-01 20:00:00,서울,-0.3,0,1.2,40.0
61383,97398.0,60237.04167,37160.95833,61.69254167,2018-01-01 21:00:00,서울,-0.9,0,1.2,44.0
61384,97398.0,61203.09167,36194.90833,59.1402,2018-01-01 22:00:00,서울,-1.3,0,0.8,48.0
61385,97398.0,62085.05833,35312.94167,56.89150833,2018-01-01 23:00:00,서울,-1.6,0,0.7,51.0
61386,97398.0,59455.95833,37942.04167,63.83928333,2018-01-02 00:00:00,서울,-1.8,0,1.1,54.0
61387,97398.0,58223.16667,39174.83333,67.28744167,2018-01-02 01:00:00,서울,-2.1,0,0.8,56.0
61388,97398.0,58094.325,39303.675,67.65565833,2018-01-02 02:00:00,서울,-2.3,0,0.9,62.0
61389,97398.0,58344.05,39053.95,66.93813333,2018-01-02 03:00:00,서울,-2.5,0,0.4,62.0
61390,97398.0,59081.08333,38316.91667,64.862175,2018-01-02 04:00:00,서울,-2.7,0,0.5,67.0
61391,97398.0,61123.675,36274.325,59.36790833,2018-01-02 05:00:00,서울,-3.1,0,0.6,67.0
61392,98082.75,64383.14167,33699.60833,52.38880833,2018-01-02 06:00:00,서울,-3.2,0,0.4,67.0
61393,97686.66667,68708.14167,28978.525,42.2453,2018-01-02 07:00:00,서울,-3.2,0,0.5,69.0
61394,97822.91667,75216.59167,22606.325,30.12685833,2018-01-02 08:00:00,서울,-3.4,0,0.8,71.0
61395,98229.58333,78679.55833,19550.025,24.85226667,2018-01-02 09:00:00,서울,-3.1,0,0.2,66.0
61396,98255.0,79257.99167,18997.00833,23.96905833,2018-01-02 10:00:00,서울,-1.4,0,1.9,50.0
