,거래일자,지역,발전량 
0,2018-01-01,강원도,20866.9215
1,2018-01-01,경기도,11300.095041666667
2,2018-01-01,경상남도,25083.82083333333
3,2018-01-01,경상북도,39324.642625
4,2018-01-01,광주시,4446.730416666666
5,2018-01-01,대구시,4183.36575
6,2018-01-01,대전시,1350.277
7,2018-01-01,부산시,7145.419000000001
8,2018-01-01,서울시,1606.3706249999998
9,2018-01-01,세종시,1127.6884166666666
10,2018-01-01,울산시,1995.1000000000001
11,2018-01-01,인천시,2939.3608333333336
12,2018-01-01,전라남도,95397.43400000001
13,2018-01-01,전라북도,17224.781875
14,2018-01-01,제주도,17545.727083333335
15,2018-01-01,충청남도,31417.250541666668
16,2018-01-01,충청북도,11523.069166666666
17,2018-01-02,강원도,16488.172375
18,2018-01-02,경기도,8901.570333333333
19,2018-01-02,경상남도,19398.624791666665
20,2018-01-02,경상북도,22151.953333333335
21,2018-01-02,광주시,2904.43925
22,2018-01-02,대구시,2907.5784166666667
23,2018-01-02,대전시,487.27549999999997
24,2018-01-02,부산시,5933.6365000000005
25,2018-01-02,서울시,1285.1585833333334
26,2018-01-02,세종시,477.96274999999997
27,2018-01-02,울산시,1508.439
28,2018-01-02,인천시,2268.5867916666666
29,2018-01-02,전라남도,75117.06683333333
30,2018-01-02,전라북도,7247.692208333334
31,2018-01-02,제주도,18609.925458333335
32,2018-01-02,충청남도,14804.75025
33,2018-01-02,충청북도,5674.7535
34,2018-01-03,강원도,21073.053499999998
35,2018-01-03,경기도,13452.659708333333
36,2018-01-03,경상남도,24807.403041666665
37,2018-01-03,경상북도,40093.442375
38,2018-01-03,광주시,4695.699666666666
39,2018-01-03,대구시,3905.7701666666667
40,2018-01-03,대전시,1459.6248333333333
41,2018-01-03,부산시,6865.945500000001
42,2018-01-03,서울시,1776.0257083333333
43,2018-01-03,세종시,1331.9165833333334
44,2018-01-03,울산시,1841.562
45,2018-01-03,인천시,3269.2072083333333
46,2018-01-03,전라남도,88618.45129166666
47,2018-01-03,전라북도,17586.361666666668
48,2018-01-03,제주도,16550.806083333333
49,2018-01-03,충청남도,43352.120416666665
50,2018-01-03,충청북도,12752.210833333333
51,2018-01-04,강원도,15224.0395
52,2018-01-04,경기도,9509.453166666666
53,2018-01-04,경상남도,16985.054166666665
54,2018-01-04,경상북도,33562.416
55,2018-01-04,광주시,2241.087666666667
56,2018-01-04,대구시,3698.165791666667
57,2018-01-04,대전시,979.8544999999999
58,2018-01-04,부산시,4773.0435
59,2018-01-04,서울시,1174.0925833333333
60,2018-01-04,세종시,877.2925
61,2018-01-04,울산시,1547.7
62,2018-01-04,인천시,2582.1931666666665
63,2018-01-04,전라남도,45458.73258333333
64,2018-01-04,전라북도,9597.809458333333
65,2018-01-04,제주도,5369.340499999999
66,2018-01-04,충청남도,27617.21695833333
67,2018-01-04,충청북도,9263.4305
68,2018-01-05,강원도,16906.417083333334
69,2018-01-05,경기도,11687.724291666667
70,2018-01-05,경상남도,22831.71816666667
71,2018-01-05,경상북도,34844.639875
72,2018-01-05,광주시,2842.302833333333
73,2018-01-05,대구시,3763.9255
74,2018-01-05,대전시,1297.3258333333333
75,2018-01-05,부산시,5990.4005
76,2018-01-05,서울시,1547.4155833333334
77,2018-01-05,세종시,1182.8756666666666
78,2018-01-05,울산시,1553.052
79,2018-01-05,인천시,3247.064
80,2018-01-05,전라남도,57849.96470833333
81,2018-01-05,전라북도,13643.826875
82,2018-01-05,제주도,4255.699083333334
83,2018-01-05,충청남도,33265.65191666666
84,2018-01-05,충청북도,11559.183666666666
85,2018-01-06,강원도,21485.687583333332
86,2018-01-06,경기도,14316.434041666667
87,2018-01-06,경상남도,26283.470791666667
88,2018-01-06,경상북도,41159.13720833333
89,2018-01-06,광주시,4875.6785
90,2018-01-06,대구시,4340.520583333333
91,2018-01-06,대전시,1451.5441666666668
92,2018-01-06,부산시,7549.178333333333
93,2018-01-06,서울시,1797.310125
94,2018-01-06,세종시,1256.9194166666666
95,2018-01-06,울산시,2034.286
96,2018-01-06,인천시,3556.3656666666666
97,2018-01-06,전라남도,105529.24733333335
98,2018-01-06,전라북도,18744.274875
99,2018-01-06,제주도,18819.034083333336
100,2018-01-06,충청남도,45237.85324999999
101,2018-01-06,충청북도,12472.812333333333
102,2018-01-07,강원도,11969.446333333333
103,2018-01-07,경기도,6358.307333333333
104,2018-01-07,경상남도,7253.350583333333
105,2018-01-07,경상북도,14659.221708333333
