,0,1,2
0,울산광역시 울주군,2021.07.15 14:00 / 2021.07.15 14:51,1000
1,부산광역시 사상구,2021.07.15 14:00 / 2021.07.15 14:53,1000
2,부산광역시 영도구,2021.07.15 14:00 / 2021.07.15 14:48,1000
3,강원도 정선군,2021.07.15 14:00 / 2021.07.15 15:06,1000
4,강원도 정선군,2021.07.15 14:00 / 2021.07.15 15:02,1000
5,전라북도 전주시 덕진구,2021.07.15 14:00 / 2021.07.15 15:09,1000
6,강원도 화천군,2021.07.15 10:23 / 2021.07.15 10:22,1000
7,강원도 철원군,2021.07.15 10:22 / 2021.07.15 10:22,1000
8,강원도 인제군,2021.07.15 10:20 / 2021.07.15 10:19,1000
9,강원도 횡성군,2021.07.15 10:20 / 2021.07.15 10:20,1000
10,강원도 원주시,2021.07.15 10:20 / 2021.07.15 10:20,1000
11,강원도 평창군,2021.07.15 10:20 / 2021.07.15 10:20,1000
12,부산광역시 부산진구,2021.07.15 10:20 / 2021.07.15 10:21,1000
13,강원도 춘천시,2021.07.15 10:15 / 2021.07.15 10:20,1000
14,강원도 영월군,2021.07.15 10:10 / 2021.07.15 10:19,1000
15,강원도 원주시,2021.07.15 10:00 / 2021.07.15 10:21,1000
16,강원도 홍천군,2021.07.15 09:45 / 2021.07.15 10:20,1000
17,강원도 양구군,2021.07.15 09:30 / 2021.07.15 10:25,1000
18,경상북도 봉화군,2021.07.15 09:00 / 2021.07.15 09:23,1000
19,부산광역시 사상구,2021.07.15 03:04 / 2021.07.15 14:02,0
20,부산광역시 사상구,2021.07.15 03:03 / 2021.07.15 13:37,0
21,부산광역시 사상구,2021.07.15 01:01 / 2021.07.15 13:53,0
22,부산광역시 부산진구,2021.07.14 18:00 / 2021.07.14 17:43,2000
23,경상북도 안동시,2021.07.14 18:00 / 2021.07.14 17:48,2000
24,경기도 고양시 덕양구,2021.07.14 17:00 / 2021.07.14 14:38,1230
25,경기도 고양시 일산동구,2021.07.14 15:00 / 2021.07.14 14:52,1000
26,경기도 연천군,2021.07.14 15:00 / 2021.07.14 15:04,0
27,경기도 연천군,2021.07.14 14:50 / 2021.07.14 14:54,300
28,경기도 파주시,2021.07.14 14:50 / 2021.07.14 14:59,300
29,경기도 파주시,2021.07.14 14:50 / 2021.07.14 15:08,0
30,경기도 파주시,2021.07.14 14:49 / 2021.07.14 14:49,10000
31,경기도 양평군,2021.07.14 14:39 / 2021.07.14 14:39,2400
32,경기도 연천군,2021.07.14 14:35 / 2021.07.14 14:41,1000
33,경기도 남양주시,2021.07.14 14:30 / 2021.07.14 14:45,1000
34,경기도 가평군,2021.07.14 14:25 / 2021.07.14 14:38,1000
35,경기도 가평군,2021.07.14 14:25 / 2021.07.14 14:47,2000
36,경기도 포천시,2021.07.14 14:25 / 2021.07.14 15:02,1000
37,전라북도 전주시 완산구,2021.07.14 14:20 / 2021.07.14 15:06,1000
38,경상북도 울릉군,2021.07.14 14:20 / 2021.07.19 15:01,300
39,경기도 동두천시,2021.07.14 14:00 / 2021.07.14 14:54,600
40,경기도 동두천시,2021.07.14 14:00 / 2021.07.14 15:00,1000
41,경기도 의정부시,2021.07.14 14:00 / 2021.07.14 14:40,2050
42,경기도 동두천시,2021.07.14 14:00 / 2021.07.14 14:38,2000
43,경기도 가평군,2021.07.14 14:00 / 2021.07.14 15:00,600
44,제주특별자치도 제주시,2021.07.14 10:00 / 2021.07.14 16:17,51256
45,대전광역시 대덕구,2021.07.13 17:00 / 2021.07.13 17:41,1000
46,서울특별시 동작구,2021.07.13 15:30 / 2021.07.13 15:45,1000
47,부산광역시 사상구,2021.07.13 12:00 / 2021.07.13 14:07,0
48,전라남도 완도군,2021.07.13 10:25 / 2021.07.19 10:53,1000
49,부산광역시 사상구,2021.07.13 06:07 / 2021.07.13 14:31,0
50,부산광역시 사상구,2021.07.13 03:05 / 2021.07.13 14:34,0
51,광주광역시 북구,2021.07.12 12:00 / 2021.07.12 19:27,1100
52,충청북도 충주시,2021.07.12 05:41 / 2021.07.12 06:27,708
53,충청북도 충주시,2021.07.11 16:57 / 2021.07.11 18:03,4237
54,경상남도 거창군,2021.07.10 17:37 / 2021.07.12 19:29,7
55,대전광역시 유성구,2021.07.09 02:15 / 2021.07.09 03:16,427
56,광주광역시 서구,2021.07.09 01:01 / 2021.07.09 09:29,0
57,경기도 시흥시,2021.07.08 14:28 / 2021.07.08 14:27,1000
58,인천광역시 부평구,2021.07.08 14:27 / 2021.07.08 14:26,1000
59,인천광역시 서구,2021.07.08 14:27 / 2021.07.08 14:27,1000
60,인천광역시 서구,2021.07.08 14:26 / 2021.07.08 14:26,1000
61,인천광역시 강화군,2021.07.08 14:26 / 2021.07.08 14:26,1000
62,경기도 시흥시,2021.07.08 14:26 / 2021.07.08 14:26,1000
63,인천광역시 중구,2021.07.08 14:26 / 2021.07.08 14:26,1000
64,서울특별시 강북구,2021.07.08 13:56 / 2021.07.08 13:55,1000
65,인천광역시 부평구,2021.07.08 13:31 / 2021.07.08 13:31,1000
66,인천광역시 서구,2021.07.08 13:31 / 2021.07.08 13:30,1000
67,인천광역시 강화군,2021.07.08 13:30 / 2021.07.08 13:30,1000
68,경기도 시흥시,2021.07.08 13:30 / 2021.07.08 13:31,1000
69,인천광역시 중구,2021.07.08 13:30 / 2021.07.08 13:27,1000
70,인천광역시 서구,2021.07.08 13:30 / 2021.07.08 13:30,1000
71,경기도 시흥시,2021.07.08 13:28 / 2021.07.08 13:28,1000
72,인천광역시 서구,2021.07.08 11:32 / 2021.07.08 11:31,1000
73,경기도 시흥시,2021.07.08 11:32 / 2021.07.08 11:32,5500
74,인천광역시 서구,2021.07.08 11:31 / 2021.07.08 11:31,1000
75,인천광역시 중구,2021.07.08 11:27 / 2021.07.08 11:26,800
76,인천광역시 강화군,2021.07.08 11:26 / 2021.07.08 11:25,1000
77,경기도 시흥시,2021.07.08 10:37 / 2021.07.08 10:37,1000
78,인천광역시 서구,2021.07.08 10:36 / 2021.07.08 10:36,1000
79,인천광역시 부평구,2021.07.08 10:36 / 2021.07.08 10:36,1000
80,인천광역시 중구,2021.07.08 10:36 / 2021.07.08 10:36,1000
81,인천광역시 강화군,2021.07.08 10:36 / 2021.07.08 10:36,1000
82,경기도 시흥시,2021.07.08 10:36 / 2021.07.08 10:36,1000
83,경기도 김포시,2021.07.08 10:36 / 2021.07.08 10:35,1000
84,대전광역시 서구,2021.07.08 05:15 / 2021.07.08 06:13,141
85,대전광역시 서구,2021.07.08 05:15 / 2021.07.08 06:13,141
86,대전광역시 서구,2021.07.08 05:15 / 2021.07.08 06:13,141
87,대전광역시 서구,2021.07.08 05:15 / 2021.07.08 06:13,141
88,경기도 의정부시,2021.07.08 01:00 / 2021.07.08 11:18,20000
89,경기도 의정부시,2021.07.07 20:00 / 2021.07.07 18:45,3050
90,경상남도 창원시 마산합포구,2021.07.07 18:53 / 2021.07.07 19:52,705
91,인천광역시 부평구,2021.07.07 14:30 / 2021.07.07 14:23,1000
92,인천광역시 부평구,2021.07.07 14:30 / 2021.07.07 14:32,1000
93,경기도 부천시,2021.07.07 14:25 / 2021.07.07 14:25,1000
94,인천광역시 미추홀구,2021.07.07 14:23 / 2021.07.07 14:22,1000
95,인천광역시 부평구,2021.07.07 14:23 / 2021.07.07 14:23,1000
96,경기도 김포시,2021.07.07 14:15 / 2021.07.07 14:23,1000
97,인천광역시 계양구,2021.07.07 14:14 / 2021.07.07 14:22,1000
98,인천광역시 남동구,2021.07.07 14:10 / 2021.07.07 14:27,1000
99,인천광역시 계양구,2021.07.07 13:30 / 2021.07.07 13:25,1000
100,경기도 부천시,2021.07.07 13:30 / 2021.07.07 13:28,1000
101,인천광역시 미추홀구,2021.07.07 13:25 / 2021.07.07 13:25,1000
102,인천광역시 남동구,2021.07.07 13:25 / 2021.07.07 13:26,1000
103,인천광역시 부평구,2021.07.07 13:25 / 2021.07.07 13:25,1000
104,경상남도 하동군,2021.07.07 13:22 / 2021.07.07 13:43,2385
105,경기도 김포시,2021.07.07 13:15 / 2021.07.07 13:25,1000
106,인천광역시 계양구,2021.07.07 13:13 / 2021.07.07 13:26,1000
107,전라남도 무안군,2021.07.07 12:00 / 2021.07.07 13:30,3
108,경상남도 창녕군,2021.07.07 11:23 / 2021.07.07 12:16,2096
109,인천광역시 부평구,2021.07.07 10:50 / 2021.07.07 10:42,1000
110,경기도 부천시,2021.07.07 10:45 / 2021.07.07 10:44,1000
111,인천광역시 미추홀구,2021.07.07 10:42 / 2021.07.07 10:42,1000
112,인천광역시 남동구,2021.07.07 10:40 / 2021.07.07 10:42,1000
113,인천광역시 부평구,2021.07.07 10:22 / 2021.07.07 10:42,1000
114,경기도 김포시,2021.07.07 10:22 / 2021.07.07 10:42,1000
115,인천광역시 부평구,2021.07.07 10:08 / 2021.07.07 10:42,1000
116,전라남도 무안군,2021.07.07 10:00 / 2021.07.07 17:56,0
117,전라남도 무안군,2021.07.07 10:00 / 2021.07.07 12:30,1
118,인천광역시 중구,2021.07.07 00:00 / 2021.07.07 17:39,1000
119,전라남도 해남군,2021.07.06 10:00 / 2021.07.06 17:31,1
120,전라남도 순천시,2021.07.06 09:41 / 2021.07.06 11:48,418
121,부산광역시 수영구,2021.07.06 00:29 / 2021.07.06 01:23,6
122,인천광역시 서구,2021.07.03 20:22 / 2021.07.05 13:01,2781
123,전라북도 순창군,2021.07.02 10:06 / 2021.07.02 14:10,1005
124,전라남도 신안군,2021.07.02 02:04 / 2021.07.02 13:53,2000
125,경기도 가평군,2021.07.01 16:00 / 2021.07.16 16:31,1000
126,경기도 가평군,2021.07.01 15:30 / 2021.07.16 15:58,1000
127,인천광역시 서구,2021.07.01 14:00 / 2021.07.01 15:10,1000
128,서울특별시 중구,2021.07.01 13:00 / 2021.07.01 13:11,1000
129,전라북도 고창군,2021.07.01 12:00 / 2021.07.01 10:34,2453
130,전라북도 고창군,2021.07.01 10:20 / 2021.07.01 10:22,1119
131,서울특별시 관악구,2021.07.01 10:00 / 2021.07.02 17:51,1000
132,경상남도 산청군,2021.07.01 09:00 / 2021.07.22 09:57,1000
133,강원도 춘천시,2021.06.30 08:00 / 2021.06.30 10:52,2000
134,강원도 원주시,2021.06.30 05:00 / 2021.06.30 10:01,1010
135,경상남도 창원시 성산구,2021.06.29 16:26 / 2021.06.29 16:25,499
136,경상남도 밀양시,2021.06.29 16:20 / 2021.06.29 16:22,310
137,경상남도 남해군,2021.06.29 16:20 / 2021.06.29 16:41,32
138,경상남도 합천군,2021.06.29 16:20 / 2021.06.29 16:28,49
139,경상남도 합천군,2021.06.29 16:20 / 2021.06.29 16:33,49
140,경상남도 거제시,2021.06.29 16:16 / 2021.06.29 16:28,974
141,경상남도 거제시,2021.06.29 16:16 / 2021.06.29 16:29,974
142,경상남도 거창군,2021.06.29 16:15 / 2021.06.29 16:31,538
143,경상남도 거창군,2021.06.29 16:15 / 2021.06.29 16:29,538
144,경상남도 의령군,2021.06.29 16:10 / 2021.06.29 16:34,300
145,경상남도 창원시 마산합포구,2021.06.29 16:10 / 2021.06.29 16:24,1
146,경상남도 창녕군,2021.06.29 16:05 / 2021.06.29 16:32,1028
147,경상남도 고성군,2021.06.29 16:05 / 2021.06.29 16:32,411
148,경상남도 함양군,2021.06.29 16:00 / 2021.06.29 16:33,11
149,경상남도 하동군,2021.06.29 16:00 / 2021.06.29 17:30,4434
150,경상남도 사천시,2021.06.29 16:00 / 2021.06.29 16:31,1434
151,경상남도 산청군,2021.06.29 16:00 / 2021.06.29 16:28,102
152,경상남도 하동군,2021.06.29 16:00 / 2021.06.29 15:08,0
153,경상남도 통영시,2021.06.29 16:00 / 2021.06.29 16:31,1782
154,경상남도 함안군,2021.06.29 16:00 / 2021.06.29 16:32,220
155,경상남도 사천시,2021.06.29 15:00 / 2021.06.29 15:05,1000
156,경상남도 함안군,2021.06.29 15:00 / 2021.06.29 15:01,120
157,경상남도 의령군,2021.06.29 14:48 / 2021.06.29 14:59,1000
158,경상남도 산청군,2021.06.29 14:30 / 2021.06.29 15:00,5
159,경상남도 통영시,2021.06.29 14:20 / 2021.06.29 14:58,1000
160,경상남도 함안군,2021.06.29 14:15 / 2021.06.29 14:58,1000
161,경상남도 밀양시,2021.06.29 14:15 / 2021.06.29 14:50,1000
162,경상남도 산청군,2021.06.29 14:15 / 2021.06.29 14:50,1000
163,경상남도 산청군,2021.06.29 14:15 / 2021.06.29 15:10,1000
164,경상남도 함양군,2021.06.29 14:15 / 2021.06.29 15:07,1000
165,경상남도 남해군,2021.06.29 14:15 / 2021.06.29 15:33,1000
166,경상남도 고성군,2021.06.29 14:15 / 2021.06.29 15:06,1000
167,경상남도 합천군,2021.06.29 14:15 / 2021.06.29 15:11,1000
168,경상남도 밀양시,2021.06.29 14:15 / 2021.06.29 15:04,1000
169,경상남도 합천군,2021.06.29 14:15 / 2021.06.29 14:59,1000
170,경상남도 거창군,2021.06.29 14:15 / 2021.06.29 15:34,1000
171,경상남도 창녕군,2021.06.29 14:15 / 2021.06.29 15:00,1000
172,경상남도 거제시,2021.06.29 14:15 / 2021.06.29 15:13,1000
173,경상남도 진주시,2021.06.29 14:15 / 2021.06.29 15:00,1000
174,경상남도 거제시,2021.06.29 14:15 / 2021.06.29 15:08,1000
175,경상남도 진주시,2021.06.29 14:15 / 2021.06.29 15:21,1000
